ts,id,Ax,Ay,Az,Gx,Gy,Gz
-0.745,IMU0,0.5843847656250001,-10.0782421875,0.852626953125,0.4901960784313726,-0.21008403361344538,-1.3305322128851542
-0.735,IMU0,0.59396484375,-10.0782421875,0.890947265625,0.4901960784313726,-0.42016806722689076,-1.3305322128851542
-0.725,IMU0,0.6418652343750001,-10.068662109375001,0.852626953125,0.4901960784313726,-0.350140056022409,-1.3305322128851542
-0.715,IMU0,0.6514453125,-10.087822265625,0.852626953125,0.42016806722689076,-0.350140056022409,-1.3305322128851542
-0.705,IMU0,0.6035449218750001,-10.106982421875001,0.910107421875,0.4901960784313726,-0.4901960784313726,-1.3305322128851542
-0.695,IMU0,0.59396484375,-10.087822265625,0.929267578125,0.4901960784313726,-0.5602240896358543,-1.3305322128851542
-0.685,IMU0,0.59396484375,-10.0782421875,0.9196875000000001,0.4901960784313726,-0.42016806722689076,-1.2605042016806722
-0.675,IMU0,0.6514453125,-10.09740234375,0.890947265625,0.42016806722689076,-0.1400560224089636,-1.2605042016806722
-0.665,IMU0,0.5460644531250001,-10.068662109375001,0.929267578125,0.42016806722689076,-0.0700280112044818,-1.2605042016806722
-0.655,IMU0,0.5460644531250001,-10.087822265625,0.9196875000000001,0.42016806722689076,0,-1.1904761904761905
-0.645,IMU0,0.51732421875,-10.106982421875001,0.852626953125,0.4901960784313726,0.21008403361344538,-1.2605042016806722
-0.635,IMU0,0.5269042968750001,-10.087822265625,0.833466796875,0.42016806722689076,0.21008403361344538,-1.2605042016806722
-0.625,IMU0,0.5652246093750001,-10.1165625,0.852626953125,0.4901960784313726,0,-1.2605042016806722
-0.615,IMU0,0.5843847656250001,-10.087822265625,0.8813671875000001,0.4901960784313726,-0.0700280112044818,-1.2605042016806722
-0.605,IMU0,0.6035449218750001,-10.087822265625,0.8813671875000001,0.4901960784313726,0,-1.2605042016806722
-0.595,IMU0,0.6035449218750001,-10.087822265625,0.8622070312500001,0.42016806722689076,-0.0700280112044818,-1.3305322128851542
-0.585,IMU0,0.55564453125,-10.126142578125,0.8238867187500001,0.42016806722689076,-0.21008403361344538,-1.3305322128851542
-0.575,IMU0,0.5652246093750001,-10.106982421875001,0.8622070312500001,0.42016806722689076,-0.42016806722689076,-1.3305322128851542
-0.565,IMU0,0.5460644531250001,-10.087822265625,0.929267578125,0.4901960784313726,-0.4901960784313726,-1.2605042016806722
-0.555,IMU0,0.5460644531250001,-10.087822265625,0.910107421875,0.4901960784313726,-0.42016806722689076,-1.3305322128851542
-0.545,IMU0,0.51732421875,-10.09740234375,0.871787109375,0.4901960784313726,-0.42016806722689076,-1.3305322128851542
-0.535,IMU0,0.48858398437500006,-10.106982421875001,0.8813671875000001,0.42016806722689076,-0.42016806722689076,-1.400560224089636
-0.525,IMU0,0.46942382812500005,-10.09740234375,0.8430468750000001,0.42016806722689076,-0.21008403361344538,-1.3305322128851542
-0.515,IMU0,0.49816406250000006,-10.0782421875,0.8430468750000001,0.42016806722689076,0.0700280112044818,-1.3305322128851542
-0.505,IMU0,0.51732421875,-10.1165625,0.871787109375,0.42016806722689076,0.0700280112044818,-1.3305322128851542
-0.495,IMU0,0.55564453125,-10.106982421875001,0.8813671875000001,0.4901960784313726,0.0700280112044818,-1.3305322128851542
-0.485,IMU0,0.5460644531250001,-10.068662109375001,0.8813671875000001,0.4901960784313726,0.1400560224089636,-1.3305322128851542
-0.475,IMU0,0.536484375,-10.1165625,0.910107421875,0.42016806722689076,0.2801120448179272,-1.3305322128851542
-0.465,IMU0,0.5460644531250001,-10.0782421875,0.852626953125,0.4901960784313726,0.2801120448179272,-1.3305322128851542
-0.455,IMU0,0.6035449218750001,-10.09740234375,0.852626953125,0.4901960784313726,0,-1.3305322128851542
-0.445,IMU0,0.6035449218750001,-10.106982421875001,0.9196875000000001,0.42016806722689076,-0.1400560224089636,-1.3305322128851542
-0.435,IMU0,0.5748046875,-10.087822265625,0.910107421875,0.42016806722689076,-0.2801120448179272,-1.3305322128851542
-0.425,IMU0,0.59396484375,-10.087822265625,0.9388476562500001,0.42016806722689076,-0.350140056022409,-1.400560224089636
-0.415,IMU0,0.5269042968750001,-10.068662109375001,0.910107421875,0.350140056022409,-0.4901960784313726,-1.3305322128851542
-0.405,IMU0,0.5077441406250001,-10.087822265625,0.890947265625,0.350140056022409,-0.4901960784313726,-1.400560224089636
-0.395,IMU0,0.536484375,-10.068662109375001,0.871787109375,0.350140056022409,-0.21008403361344538,-1.400560224089636
-0.385,IMU0,0.5652246093750001,-10.135722656250001,0.852626953125,0.350140056022409,0,-1.400560224089636
-0.375,IMU0,0.5652246093750001,-10.0782421875,0.9005273437500001,0.42016806722689076,0,-1.3305322128851542
-0.365,IMU0,0.55564453125,-10.106982421875001,0.9196875000000001,0.42016806722689076,-0.0700280112044818,-1.3305322128851542
-0.355,IMU0,0.536484375,-10.0782421875,0.8813671875000001,0.4901960784313726,0.0700280112044818,-1.3305322128851542
-0.345,IMU0,0.613125,-10.09740234375,0.871787109375,0.42016806722689076,0.350140056022409,-1.3305322128851542
-0.335,IMU0,0.6227050781250001,-10.09740234375,0.852626953125,0.350140056022409,0.2801120448179272,-1.400560224089636
-0.325,IMU0,0.6514453125,-10.068662109375001,0.9388476562500001,0.350140056022409,0.1400560224089636,-1.3305322128851542
-0.315,IMU0,0.6227050781250001,-10.0782421875,0.833466796875,0.350140056022409,0,-1.3305322128851542
-0.305,IMU0,0.6227050781250001,-10.068662109375001,0.795146484375,0.350140056022409,-0.0700280112044818,-1.3305322128851542
