ts,latitude,longitude,satellites
-0.74,39.39021301269531,-8.289215087890625,12
-0.54,39.39021301269531,-8.289215087890625,12
-0.34,39.39021301269531,-8.289215087890625,12
-0.14,39.39021301269531,-8.289215087890625,12
0.06,39.39021301269531,-8.289215087890625,12
0.36,39.39021301269531,-8.28920841217041,12
0.46,39.39021301269531,-8.28919792175293,12
0.66,39.39021301269531,-8.28919792175293,12
0.86,39.39020919799805,-8.28916072845459,12
1.06,39.39020538330078,-8.28913688659668,12
1.26,39.39019775390625,-8.289106369018555,12
1.46,39.39018630981445,-8.289072036743164,12
1.86,39.39017105102539,-8.289010047912598,12
2.06,39.39015197753906,-8.288968086242676,12
2.26,39.39013671875,-8.288928985595703,12
2.36,39.39013671875,-8.288928985595703,12
2.46,39.390098571777344,-8.288896560668945,12
2.66,39.390098571777344,-8.288896560668945,12
2.86,39.39004898071289,-8.288818359375,10
3.06,39.39002227783203,-8.288782119750977,9
3.26,39.38999557495117,-8.28874683380127,10
3.46,39.38994216918945,-8.288692474365234,9
4.06,39.38990783691406,-8.288653373718262,10
4.36,39.38990783691406,-8.288653373718262,4
4.86,39.389503479003906,-8.288329124450684,4
5.06,39.389442443847656,-8.288281440734863,4
5.26,39.3893928527832,-8.288228988647461,4
5.46,39.38934326171875,-8.288174629211426,4
5.86,39.38924026489258,-8.288077354431152,4
6.06,39.38918685913086,-8.288030624389648,4
6.26,39.38913345336914,-8.287984848022461,4
6.36,39.38913345336914,-8.287984848022461,4
6.46,39.38908004760742,-8.287940979003906,4
6.86,39.38897705078125,-8.287848472595215,4
7.06,39.3889274597168,-8.287801742553711,4
7.26,39.388877868652344,-8.28775405883789,4
7.46,39.38882827758789,-8.287708282470703,4
7.86,39.38872528076172,-8.287622451782227,4
8.06,39.388671875,-8.287583351135254,4
8.26,39.38862228393555,-8.2875394821167,4
8.36,39.38862228393555,-8.2875394821167,4
8.86,39.38847732543945,-8.287412643432617,5
9.06,39.388427734375,-8.287370681762695,4
9.26,39.38838195800781,-8.28732681274414,4
9.46,39.388336181640625,-8.287288665771484,4
9.86,39.388240814208984,-8.287208557128906,4
10.06,39.3881950378418,-8.287169456481934,4
10.26,39.388145446777344,-8.28713321685791,4
10.36,39.388145446777344,-8.28713321685791,4
10.46,39.388099670410156,-8.287092208862305,4
11.06,39.38795471191406,-8.28698444366455,4
11.26,39.387908935546875,-8.286945343017578,4
11.46,39.38785934448242,-8.286910057067871,4
11.86,39.38776779174805,-8.286839485168457,4
12.06,39.38772964477539,-8.286798477172852,4
12.26,39.38768768310547,-8.286761283874512,4
12.36,39.38768768310547,-8.286761283874512,4
12.46,39.38764572143555,-8.286724090576172,4
13.06,39.387516021728516,-8.286613464355469,4
13.26,39.38746643066406,-8.286579132080078,4
13.46,39.38742446899414,-8.286543846130371,4
13.86,39.38733673095703,-8.28647518157959,4
14.06,39.38729476928711,-8.2864408493042,4
14.26,39.38725280761719,-8.286404609680176,4
14.36,39.38725280761719,-8.286404609680176,4
14.46,39.387210845947266,-8.286369323730469,4
14.86,39.38711929321289,-8.286303520202637,4
15.06,39.3870735168457,-8.286272048950195,4
15.26,39.387027740478516,-8.286243438720703,4
15.46,39.38698959350586,-8.286210060119629,4
16.06,39.3868522644043,-8.286123275756836,4
16.26,39.38679885864258,-8.286099433898926,4
16.36,39.38679885864258,-8.286099433898926,4
16.46,39.386749267578125,-8.2860746383667,4
16.86,39.386661529541016,-8.286016464233398,4
17.06,39.38661575317383,-8.285989761352539,4
17.26,39.386566162109375,-8.285964965820312,4
17.46,39.38652038574219,-8.285941123962402,4
17.86,39.38642120361328,-8.28589153289795,4
18.06,39.38637161254883,-8.285868644714355,4
18.26,39.386322021484375,-8.285844802856445,5
18.36,39.386322021484375,-8.285844802856445,4
18.46,39.38627624511719,-8.285819053649902,4
19.06,39.386131286621094,-8.285749435424805,4
19.26,39.386077880859375,-8.28573226928711,4
19.46,39.386024475097656,-8.285713195800781,4
19.86,39.38591003417969,-8.285679817199707,4
20.06,39.385868072509766,-8.285654067993164,4
20.26,39.38582229614258,-8.285627365112305,5
20.36,39.38582229614258,-8.285627365112305,5
20.66,39.38577651977539,-8.285603523254395,6
21.06,39.38563919067383,-8.285540580749512,5
21.26,39.38559341430664,-8.28551959991455,5
21.46,39.38554000854492,-8.285504341125488,4
21.86,39.38542938232422,-8.285476684570312,4
22.06,39.385372161865234,-8.285459518432617,5
22.26,39.385318756103516,-8.285439491271973,6
22.36,39.385318756103516,-8.285439491271973,6
22.66,39.385318756103516,-8.285439491271973,0
22.86,39.38517761230469,-8.285384178161621,7
23.06,39.385128021240234,-8.28536605834961,5
23.26,39.38508224487305,-8.285347938537598,6
23.46,39.385032653808594,-8.285330772399902,7
24.06,39.38498306274414,-8.285311698913574,7
24.26,39.38482666015625,-8.285271644592285,7
24.36,39.38482666015625,-8.285271644592285,7
24.46,39.3847770690918,-8.285257339477539,7
24.66,39.3847770690918,-8.285257339477539,7
25.26,39.38459014892578,-8.285191535949707,5
25.46,39.384544372558594,-8.285174369812012,6
25.76,39.384544372558594,-8.285174369812012,7
25.86,39.38444519042969,-8.285149574279785,8
26.06,39.38444519042969,-8.285149574279785,8
26.36,39.38444519042969,-8.285149574279785,7
26.76,39.38444519042969,-8.285149574279785,8
27.06,39.38444519042969,-8.285149574279785,0
27.26,39.38444519042969,-8.285149574279785,8
27.46,39.38444519042969,-8.285149574279785,11
27.76,39.38444519042969,-8.285149574279785,0
27.86,39.38444519042969,-8.285149574279785,11
28.36,39.38444519042969,-8.285149574279785,7
28.66,39.38444519042969,-8.285149574279785,8
29.26,39.38444519042969,-8.285149574279785,9
29.46,39.38444519042969,-8.285149574279785,8
29.66,39.38444519042969,-8.285149574279785,0
30.06,39.38444519042969,-8.285149574279785,8
30.36,39.38444519042969,-8.285149574279785,9
30.86,39.38444519042969,-8.285149574279785,10
31.66,39.38444519042969,-8.285149574279785,7
32.06,39.38444519042969,-8.285149574279785,9
32.36,39.38444519042969,-8.285149574279785,9
32.66,39.38444519042969,-8.285149574279785,10
33.06,39.38444519042969,-8.285149574279785,0
33.26,39.38444519042969,-8.285149574279785,10
33.66,39.38444519042969,-8.285149574279785,11
33.86,39.38444519042969,-8.285149574279785,12
34.36,39.38444519042969,-8.285149574279785,9
35.06,39.383201599121094,-8.286199569702148,8
35.26,39.38322830200195,-8.286184310913086,8
35.46,39.383243560791016,-8.286172866821289,9
35.86,39.38326644897461,-8.286148071289062,9
36.06,39.383277893066406,-8.286137580871582,10
36.26,39.3832893371582,-8.286128997802734,10
36.36,39.3832893371582,-8.286128997802734,11
36.86,39.38335418701172,-8.286049842834473,12
37.06,39.38337707519531,-8.28601360321045,11
37.26,39.383399963378906,-8.285983085632324,12
37.46,39.383426666259766,-8.2859525680542,12
37.86,39.383480072021484,-8.28589153289795,12
38.06,39.38351058959961,-8.285866737365723,12
38.26,39.383541107177734,-8.285844802856445,12
38.36,39.383541107177734,-8.285844802856445,12
38.46,39.383575439453125,-8.285820960998535,12
38.86,39.383636474609375,-8.28577995300293,12
39.06,39.383663177490234,-8.285761833190918,12
39.26,39.383689880371094,-8.285737991333008,12
39.46,39.38371658325195,-8.285709381103516,12
39.86,39.3837776184082,-8.28565788269043,12
40.06,39.38380813598633,-8.285629272460938,12
40.26,39.38383865356445,-8.285600662231445,12
40.36,39.38383865356445,-8.285600662231445,12
40.46,39.383872985839844,-8.28557300567627,12
40.86,39.38393020629883,-8.285521507263184,12
41.06,39.38395690917969,-8.285491943359375,12
41.26,39.38398742675781,-8.285460472106934,12
41.56,39.38401412963867,-8.285426139831543,12
41.86,39.38405990600586,-8.285359382629395,12
42.06,39.38407897949219,-8.285327911376953,12
42.26,39.384098052978516,-8.285297393798828,12
42.36,39.384098052978516,-8.285297393798828,12
42.46,39.384117126464844,-8.285265922546387,12
42.96,39.38416290283203,-8.28520393371582,12
43.06,39.38418960571289,-8.285175323486328,12
43.36,39.38422393798828,-8.285147666931152,12
43.46,39.38426208496094,-8.285120964050293,12
43.86,39.38433074951172,-8.285059928894043,12
44.06,39.384368896484375,-8.28503131866455,12
44.36,39.384403228759766,-8.285008430480957,12
44.46,39.38443374633789,-8.284985542297363,12
44.96,39.384498596191406,-8.28494644165039,12
45.06,39.3845329284668,-8.28492259979248,12
45.26,39.384559631347656,-8.284895896911621,12
45.46,39.384586334228516,-8.284870147705078,12
45.86,39.3846435546875,-8.284811973571777,12
46.06,39.38467025756836,-8.284777641296387,12
46.26,39.384700775146484,-8.284741401672363,12
46.36,39.384700775146484,-8.284741401672363,12
46.46,39.384727478027344,-8.284707069396973,12
46.86,39.3847770690918,-8.284634590148926,12
