ts,filteredAltitudeAGL,filteredAcceleration
-0.75,0.4263458251953125,0.2288045883178711
-0.74,0.2582550048828125,0.2288045883178711
-0.73,0.2582550048828125,0.2288045883178711
-0.72,0.258392333984375,0.2288045883178711
-0.71,0.258392333984375,0.2192707061767578
-0.7,0.4263458251953125,0.2288045883178711
-0.69,0.258392333984375,0.2288045883178711
-0.68,0.4263458251953125,0.2288045883178711
-0.67,0.5101776123046875,0.2192707061767578
-0.66,0.7607879638671875,0.2192707061767578
-0.65,0.7607879638671875,0.2192707061767578
-0.64,0.7607879638671875,0.2288045883178711
-0.63,0.7607879638671875,0.2288045883178711
-0.62,0.7607879638671875,0.2288045883178711
-0.61,0.5101776123046875,0.2288045883178711
-0.6,0.6694793701171875,0.2288045883178711
-0.59,0.7607879638671875,0.2288045883178711
-0.58,0.6694793701171875,0.2288045883178711
-0.57,0.167388916015625,0.2288045883178711
-0.56,0.167388916015625,0.2288045883178711
-0.55,0.167388916015625,0.2288045883178711
-0.54,0.3463134765625,0.2288045883178711
-0.53,0.3463134765625,0.2288045883178711
-0.52,0.3463134765625,0.2288045883178711
-0.51,0.3463134765625,0.23833847045898438
-0.5,-0.4176483154296875,0.23833847045898438
-0.49,0.2612152099609375,0.23833847045898438
-0.48,0.2612152099609375,0.23833847045898438
-0.47,0.3463134765625,0.23833847045898438
-0.46,0.2612152099609375,0.23833847045898438
-0.45,0.0908660888671875,0.23833847045898438
-0.44,0.0908660888671875,0.23833847045898438
-0.43,0.2612152099609375,0.23833847045898438
-0.42,0.2612152099609375,0.23833847045898438
-0.41,0.2612152099609375,0.23833847045898438
-0.4,0.589202880859375,0.2288045883178711
-0.39,0.589202880859375,0.2288045883178711
-0.38,0.2521514892578125,0.2288045883178711
-0.37,0.4211273193359375,0.2288045883178711
-0.36,0.4211273193359375,0.2288045883178711
-0.35,0.2521514892578125,0.2288045883178711
-0.34,0.2521514892578125,0.2288045883178711
-0.33,-0.25848388671875,0.2288045883178711
-0.32,-0.4238128662109375,0.2288045883178711
-0.31,-0.4238128662109375,0.2288045883178711
-0.3,-0.5087127685546875,0.2192707061767578
-0.29,-0.4238128662109375,0.2192707061767578
-0.28,-0.4238128662109375,0.2192707061767578
-0.27,0.1681671142578125,0.2192707061767578
-0.26,0.1681671142578125,0.2192707061767578
-0.25,0.0831298828125,0.2192707061767578
-0.24,0.0831298828125,0.2192707061767578
-0.23,0.1681671142578125,0.20973777770996094
-0.22,0.0831298828125,0.2192707061767578
-0.21,0.0831298828125,0.23833847045898438
-0.2,0.0829620361328125,0.24787235260009766
-0.19,0.0829620361328125,0.23833847045898438
-0.18,-0.084930419921875,0.23833847045898438
-0.17,0.0829620361328125,0.20973777770996094
-0.16,-0.0842437744140625,0.23833847045898438
-0.15,-0.0842437744140625,0.19067096710205078
-0.14,-0.0842437744140625,0.24787235260009766
-0.13,-0.0842437744140625,0.19067096710205078
-0.12,-0.0842437744140625,0.19067096710205078
-0.11,0.4222564697265625,0.19067096710205078
-0.1,-0.0842437744140625,0.24787235260009766
-0.09,-0.0830078125,1.2870264053344727
-0.08,-0.0830078125,1.4300289154052734
-0.07,-0.0830078125,2.5931196212768555
-0.06,-0.0830078125,14.614897727966309
-0.05,-0.0843505859375,34.03469467163086
-0.04,-0.0830078125,47.01935958862305
-0.03,-0.0830078125,49.24067306518555
-0.02,-0.0843505859375,52.62507247924805
-0.01,-0.0830078125,52.920616149902344
0,-0.0843505859375,53.9120979309082
0.01,-0.0843505859375,54.61758041381836
0.02,-0.509735107421875,57.687381744384766
0.03,-0.509735107421875,61.2529182434082
0.04,0.593994140625,64.83753204345703
0.05,0.593994140625,68.06938934326172
0.06,1.1039581298828125,68.23146057128906
0.07,1.1039581298828125,68.54606628417969
0.08,0.593994140625,68.63186645507812
0.09,0.593994140625,68.96554565429688
0.1,1.0194091796875,69.92842864990234
0.11,1.0194091796875,70.6339111328125
0.12,1.0194091796875,71.21546173095703
0.13,1.0194091796875,72.21647644042969
0.14,0.6785430908203125,72.38807678222656
0.15,0.593994140625,72.86475372314453
0.16,0.6785430908203125,73.19843292236328
0.17,1.0194091796875,73.70370483398438
0.18,1.2730712890625,73.9325180053711
0.19,2.5440216064453125,75.25767517089844
0.2,2.5440216064453125,75.61041259765625
0.21,3.053985595703125,76.13475799560547
0.22,3.64849853515625,76.30636596679688
0.23,3.64849853515625,76.74490356445312
0.24,3.8176116943359375,77.70779418945312
0.25,3.64849853515625,77.74592590332031
0.26,3.64849853515625,78.03192901611328
0.27,2.9694366455078125,78.05099487304688
0.28,2.713134765625,78.10819244384766
0.29,2.9694366455078125,78.68020629882812
0.3,2.9694366455078125,78.68020629882812
0.31,2.9694366455078125,79.03295135498047
0.32,3.1385498046875,79.05201721191406
0.33,3.053985595703125,79.12828063964844
0.34,3.1385498046875,79.67169952392578
0.35,3.561309814453125,79.7002944946289
0.36,4.4966888427734375,80.39624786376953
0.37,5.598541259765625,82.0169448852539
0.38,5.76763916015625,82.522216796875
0.39,5.852203369140625,83.00843048095703
0.4,6.4467315673828125,83.9522476196289
0.41,7.294921875,84.03804779052734
0.42,7.294921875,84.1429214477539
0.43,7.5485687255859375,84.1619873046875
0.44,8.143096923828125,85.0486068725586
0.45,8.143096923828125,85.20114135742188
0.46,8.312210083007812,85.30601501464844
0.47,8.991287231445312,85.52528381347656
0.48,9.585800170898438,87.00298309326172
0.49,9.67034912109375,87.59405517578125
0.5,9.754913330078125,87.65126037597656
0.51,9.754913330078125,87.75613403320312
0.52,9.92401123046875,88.01353454589844
