ts,height,velocity,acceleration
-0.75,-0.13427084684371948,0.012019549496471882,-0.0006714612245559692
-0.74,-0.126114621758461,0.020326433703303337,-0.0005419999361038208
-0.73,-0.11804406344890594,0.028460051864385605,-0.0004152655601501465
-0.72,-0.11005629599094391,0.036425136029720306,-0.0002911686897277832
-0.71,-0.10215453803539276,0.04412521794438362,-0.0097036212682724
-0.7,-0.09089919924736023,0.05531110614538193,0.000004470348358154297
-0.69,-0.08320429176092148,0.06269960105419159,0.00011952221393585205
-0.68,-0.07215508818626404,0.07348296046257019,0.0002874135971069336
-0.67,-0.05951019749045372,0.08571236580610275,-0.009054601192474365
-0.66,-0.04187222570180893,0.10298269987106323,-0.008784264326095581
-0.65,-0.024426281452178955,0.11987839639186859,-0.008519798517227173
-0.64,-0.0071716345846652985,0.13649886846542358,0.001272737979888916
-0.63,0.009892469272017479,0.1527528464794159,0.0015256404876708984
-0.62,0.0267663411796093,0.16864438354969025,0.001772850751876831
-0.61,0.03831809014081955,0.17886805534362793,0.0019317716360092163
-0.6,0.05299575626850128,0.19222140312194824,0.0021394044160842896
-0.59,0.06937354803085327,0.20719753205776215,0.002372264862060547
-0.58,0.08369273692369461,0.21989133954048157,0.00256955623626709
-0.57,0.0875607505440712,0.22164364159107208,0.002596437931060791
-0.56,0.0913667157292366,0.22331389784812927,0.0026220381259918213
-0.55,0.09511110186576843,0.2249034196138382,0.0026463866233825684
-0.54,0.10245855897665024,0.2302042692899704,0.0027285218238830566
-0.53,0.10970748215913773,0.2353491485118866,0.002808213233947754
-0.52,0.1168583482503891,0.24034014344215393,0.002885490655899048
-0.51,0.12391213327646255,0.24527469277381897,0.012494280934333801
-0.5,0.1152246817946434,0.23387403786182404,0.0123148113489151
-0.49,0.12050585448741913,0.23704060912132263,0.012362197041511536
-0.48,0.1257098913192749,0.2400950938463211,0.012407839298248291
-0.47,0.1325800120830536,0.2448420524597168,0.012479826807975769
-0.46,0.1376132220029831,0.24764025211334229,0.01252146065235138
-0.45,0.1390821933746338,0.24672259390354156,0.012505218386650085
-0.44,0.14051209390163422,0.24577383697032928,0.012488499283790588
-0.43,0.14539198577404022,0.2484038770198822,0.012527510523796082
-0.42,0.15019769966602325,0.2509303689002991,0.012564897537231445
-0.41,0.1549297571182251,0.25335487723350525,0.012600690126419067
-0.4,0.1663050502538681,0.26253247261047363,0.003209233283996582
-0.39,0.17753727734088898,0.27146854996681213,0.0033478885889053345
-0.38,0.18172454833984375,0.2730253040790558,0.00337161123752594
-0.37,0.1893017739057541,0.27807319164276123,0.0034496933221817017
-0.36,0.19677327573299408,0.28296026587486267,0.003525257110595703
-0.35,0.20067918300628662,0.28410881757736206,0.003542587161064148
-0.34,0.20451636612415314,0.28517454862594604,0.003558635711669922
-0.33,0.19782811403274536,0.2753404676914215,0.003404945135116577
-0.32,0.1877947598695755,0.2621459364891052,0.003198951482772827
-0.31,0.17783761024475098,0.24916471540927887,0.002996310591697693
-0.3,0.1662180870771408,0.23450115323066711,-0.006764888763427734
-0.29,0.15643154084682465,0.22188329696655273,-0.006960317492485046
-0.28,0.14672179520130157,0.20947350561618805,-0.007152467966079712
-0.27,0.14921244978904724,0.2098119556903839,-0.007146090269088745
-0.26,0.1516554206609726,0.21009762585163116,-0.00714053213596344
-0.25,0.15230968594551086,0.20852991938591003,-0.007163837552070618
-0.24,0.1529352068901062,0.2069484442472458,-0.007187351584434509
-0.23,0.1552734375,0.20706012845039368,-0.016715943813323975
-0.22,0.15582387149333954,0.2054159790277481,-0.007207497954368591
-0.21,0.1563478410243988,0.2039509266614914,0.011835604906082153
-0.2,0.15684376657009125,0.20256662368774414,0.02134460210800171
-0.19,0.15731550753116608,0.20107652246952057,0.01178567111492157
-0.18,0.1543247401714325,0.1960194855928421,0.011705085635185242
-0.17,0.15478253364562988,0.19429711997509003,-0.01691979169845581
-0.16,0.1517912745475769,0.18930868804454803,0.01160140335559845
-0.15,0.14881007373332977,0.18390725553035736,-0.036144599318504333
-0.14,0.14583982527256012,0.1791413128376007,0.020979300141334534
-0.13,0.14288091659545898,0.17386656999588013,-0.036298587918281555
-0.12,0.13993091881275177,0.16865485906600952,-0.03637409210205078
-0.11,0.1473628729581833,0.17423684895038605,-0.036281511187553406
-0.1,0.14432752132415771,0.16950224339962006,0.020842894911766052
-0.09,0.14138415455818176,0.17524880170822144,1.059921383857727
-0.08,0.1385643482208252,0.18248561024665833,1.202849268913269
-0.07,0.1359301507472992,0.20140954852104187,2.365866184234619
-0.06,0.1341240257024765,0.34058964252471924,14.387571334838867
-0.05,0.13464178144931793,0.6739267110824585,33.80729293823242
-0.04,0.13907749950885773,1.137042760848999,46.79188537597656
-0.03,0.14806745946407318,1.6221767663955688,49.013118743896484
-0.02,0.16176354885101318,2.140828847885132,52.397438049316406
-0.01,0.18030144274234772,2.6620633602142334,52.69289016723633
0,0.2035863697528839,3.1926794052124023,53.68427658081055
0.01,0.23819682002067566,3.7365763187408447,54.3897590637207
0.02,0.2783479690551758,4.311169624328613,57.45956039428711
0.03,0.32441815733909607,4.921417713165283,61.02509689331055
0.04,0.3768869936466217,5.567515850067139,64.60971069335938
0.05,0.43597179651260376,6.245932579040527,67.84156799316406
0.06,0.5018984079360962,6.925973415374756,68.0036392211914
0.07,0.5746331810951233,7.609160423278809,68.31824493408203
0.08,0.6541382670402527,8.29319953918457,68.40404510498047
0.09,0.740490734577179,8.980574607849121,68.73772430419922
0.1,0.833802342414856,9.677583694458008,69.70060729980469
0.11,0.9341080784797668,10.381645202636719,70.40608978271484
